                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7205,                 3.9756,                 1.4874,                0.00239,                0.67188,                0.07456,                  0.038,                      0,                    inf,                      0,                 0.0883,                 0.0013,                 0.0013
                      1,                 1.3984,                 3.3894,                 1.2634,                0.00267,                   0.75,                0.12547,                0.07499,                      0,                    inf,                      0,               0.074363,              0.0013635,              0.0013635
